sport,game_id,game_date,league_id,league_name,season,home_team_id,home_team_name,away_team_id,away_team_name,result,odds_home,odds_away,odds_draw,favourite
football,1145517,2024-06-18T19:00:00+00:00,4,Euros Championship,2024,27,Portugal,770,Czech Republic,home,1.4858823529411764,6.821176470588235,4.443529411764706,home
baseball,154263,2024-06-14T18:20:00+00:00,1,MLB,2024,6,Chicago Cubs,33,St.Louis Cardinals,away,1.8161538461538465,2.0284615384615385,10000,home
baseball,154266,2024-06-14T22:45:00+00:00,1,MLB,2024,37,Washington Nationals,19,Miami Marlins,home,1.546923076923077,2.523076923076923,10000,home
baseball,154267,2024-06-14T23:05:00+00:00,1,MLB,2024,4,Baltimore Orioles,27,Philadelphia Phillies,away,1.76,2.1138461538461537,10000,home
baseball,154268,2024-06-14T23:07:00+00:00,1,MLB,2024,36,Toronto Blue Jays,9,Cleveland Guardians,away,1.6738461538461538,2.243846153846154,10000,home
baseball,154270,2024-06-14T23:10:00+00:00,1,MLB,2024,24,New York Mets,30,San Diego Padres,home,1.877692307692308,1.9553846153846153,10000,home
baseball,154271,2024-06-14T23:20:00+00:00,1,MLB,2024,3,Atlanta Braves,34,Tampa Bay Rays,home,1.4346153846153846,2.8892307692307693,10000,home
football,1145509,2024-06-14T19:00:00+00:00,4,Euros Championship,2024,25,Germany,1108,Scotland,home,1.2794117647058825,10.918823529411764,5.860588235294117,home
football,1145510,2024-06-15T13:00:00+00:00,4,Euros Championship,2024,769,Hungary,15,Switzerland,away,3.7988235294117647,2.1576470588235295,3.1558823529411764,away
football,1145511,2024-06-15T16:00:00+00:00,4,Euros Championship,2024,9,Spain,3,Croatia,home,1.9017647058823528,4.389411764705883,3.449411764705882,home
football,1145512,2024-06-15T19:00:00+00:00,4,Euros Championship,2024,768,Italy,778,Albania,home,1.3341176470588236,10.815882352941175,4.951176470588235,home
